,States,Abbreviations,Mentions
0,alabama,AL,16
1,alaska,AK,17
2,arizona,AZ,34
3,arkansas,AR,13
4,california,CA,108
5,colorado,CO,23
6,connecticut,CT,0
7,dc,DC,10
8,delaware,DE,5
9,florida,FL,62
10,georgia,GA,31
11,hawaii,HI,12
12,idaho,ID,5
13,illinois,IL,21
14,indiana,IN,24
15,iowa,IA,34
16,kansas,KS,56
17,kentucky,KY,29
18,louisiana,LA,32
19,maine,ME,12
20,maryland,MD,20
21,massachusetts,MA,22
22,michigan,MI,34
23,minnesota,MN,10
24,mississippi,MS,8
25,missouri,MO,23
26,montana,MT,14
27,nebraska,NE,10
28,nevada,NV,16
29,hampshire,NH,0
30,jersey,NJ,5
31,mexico,NM,79
32,york,NY,0
33,carolina,NC,5
34,dakota,ND,12
35,ohio,OH,46
36,oklahoma,OK,9
37,oregon,OR,14
38,pennsylvania,PA,50
39,rhode,RI,6
40,carolina,SC,5
41,dakota,SD,12
42,tennessee,TN,56
43,texas,TX,84
44,utah,UT,22
45,vermont,VT,10
46,virginia,VA,34
47,washington,WA,443
48,virginia,WV,34
49,wisconsin,WI,27
50,wyoming,WY,8
